 4.20	 3.40	     55.42	    200.56	    188.42
 3.50	 0.05	     38.48	     78.07	      1.92
 7.00	 1.25	    153.94	    362.85	    192.42
 7.90	 2.95	    196.07	    538.56	    578.40
 6.30	 3.25	    124.69	    378.03	    405.24
 0.60	 2.30	      1.13	     10.93	      2.60
 8.20	 1.40	    211.24	    494.61	    295.74
 6.20	 4.60	    120.76	    420.72	    555.51
 9.60	 2.15	    289.53	    708.74	    622.49
 2.80	 1.85	     24.63	     81.81	     45.57
 9.20	 0.25	    265.90	    546.26	     66.48
 0.30	 2.70	      0.28	      5.65	      0.76
 9.30	 4.15	    271.72	    785.93	   1127.62
 2.20	 0.85	     15.21	     42.16	     12.92
 1.90	 4.80	     11.34	     79.98	     54.44
 4.80	 1.35	     72.38	    185.48	     97.72
 7.20	 1.95	    162.86	    413.94	    317.58
 7.00	 0.65	    153.94	    336.46	    100.06
 6.80	 5.00	    145.27	    504.16	    726.34
 3.60	 4.75	     40.72	    188.87	    193.40
 0.40	 0.60	      0.50	      2.51	      0.30
 2.30	 1.70	     16.62	     57.81	     28.25
 7.40	 3.25	    172.03	    495.18	    559.11
 4.20	 0.60	     55.42	    126.67	     33.25
 5.40	 3.45	     91.61	    300.27	    316.05
 4.80	 2.25	     72.38	    212.62	    162.86
 6.30	 2.90	    124.69	    364.17	    361.60
 3.80	 3.00	     45.36	    162.36	    136.09
 2.40	 2.10	     18.10	     67.86	     38.00
 3.00	 3.95	     28.27	    131.00	    111.68
 1.70	 1.80	      9.08	     37.38	     16.34
 9.10	 2.15	    260.16	    643.24	    559.33
 8.90	 0.35	    248.85	    517.26	     87.10
 4.10	 2.15	     52.81	    161.01	    113.54
 6.50	 2.45	    132.73	    365.52	    325.19
 4.70	 0.30	     69.40	    147.65	     20.82
 9.10	 1.50	    260.16	    606.08	    390.23
 7.10	 2.55	    158.37	    430.49	    403.84
 0.70	 0.10	      1.54	      3.52	      0.15
 9.40	 2.45	    277.59	    699.88	    680.10
 3.00	 1.20	     28.27	     79.17	     33.93
 8.50	 2.75	    226.98	    600.83	    624.20
 5.70	 2.05	    102.07	    277.56	    209.24
 6.70	 3.85	    141.03	    444.13	    542.95
 3.20	 0.45	     32.17	     73.39	     14.48
 4.50	 2.00	     63.62	    183.78	    127.23
 2.70	 1.20	     22.90	     66.16	     27.48
 3.80	 1.95	     45.36	    137.29	     88.46
 1.90	 4.15	     11.34	     72.23	     47.07
 3.00	 2.10	     28.27	     96.13	     59.38
 3.40	 0.80	     36.32	     89.72	     29.05
 4.00	 2.95	     50.27	    174.67	    148.28
 0.50	 1.55	      0.79	      6.44	      1.22
 7.80	 0.35	    191.13	    399.42	     66.90
 7.40	 4.35	    172.03	    546.32	    748.35
 2.20	 2.30	     15.21	     62.20	     34.97
 2.50	 3.65	     19.63	     96.60	     71.67
 7.10	 1.50	    158.37	    383.65	    237.55
 7.80	 3.70	    191.13	    563.60	    707.20
 9.80	 0.65	    301.72	    643.46	    196.12
 8.70	 4.55	    237.79	    724.29	   1081.93
 6.20	 1.85	    120.76	    313.59	    223.41
 5.60	 3.40	     98.52	    316.67	    334.97
 5.60	 3.75	     98.52	    328.99	    369.45
 3.20	 2.65	     32.17	    117.62	     85.25
 5.10	 2.55	     81.71	    245.14	    208.37
 4.20	 1.25	     55.42	    143.82	     69.27
 6.70	 1.55	    141.03	    347.30	    218.59
 0.80	 4.60	      2.01	     27.14	      9.25
 0.80	 1.90	      2.01	     13.57	      3.82
 5.80	 4.40	    105.68	    371.71	    465.01
 5.40	 4.20	     91.61	    325.72	    384.76
 4.60	 0.50	     66.48	    147.40	     33.24
 1.00	 2.95	      3.14	     24.82	      9.27
 2.20	 4.45	     15.21	     91.92	     67.66
 2.30	 2.35	     16.62	     67.20	     39.05
 0.70	 1.55	      1.54	      9.90	      2.39
 1.40	 3.45	      6.16	     42.66	     21.24
 0.10	 4.60	      0.03	      2.95	      0.14
 6.30	 2.80	    124.69	    360.22	    349.13
 1.10	 3.00	      3.80	     28.34	     11.40
 2.50	 1.90	     19.63	     69.12	     37.31
 4.90	 4.20	     75.43	    280.17	    316.80
 9.60	 2.10	    289.53	    705.73	    608.01
 0.30	 2.55	      0.28	      5.37	      0.72
 9.20	 1.85	    265.90	    638.75	    491.92
 7.50	 1.05	    176.71	    402.91	    185.55
 9.70	 1.10	    295.59	    658.23	    325.15
 4.90	 5.00	     75.43	    304.80	    377.15
 6.90	 4.25	    149.57	    483.40	    635.68
 8.20	 1.75	    211.24	    512.65	    369.67
 5.40	 5.00	     91.61	    352.86	    458.04
 1.90	 1.95	     11.34	     45.96	     22.12
 0.10	 4.45	      0.03	      2.86	      0.14
 2.80	 3.40	     24.63	    109.08	     83.74
 2.90	 4.70	     26.42	    138.48	    124.18
 4.90	 4.20	     75.43	    280.17	    316.80
 0.80	 1.10	      2.01	      9.55	      2.21
 1.10	 0.90	      3.80	     13.82	      3.42
 1.40	 0.75	      6.16	     18.91	      4.62
